No;Komentar
368;السليم في الجسم السليم solehah masak cantik nyari perhatian pansos emang jablay banget disurabaya etnis tionghoa warga lokal berbaur sekat emang jakarta kota munafik berfikir
369;termsk gila rich rich kerja bungkusin nasi bareng anak buahnya gila tuh
370;allah bu rudi kangen sempet kerja depot bu rudi bulanan jadi tukang cuci piring hari libur hari cuci piring beratus piring terus keluar nekat proses jadi tkw
371;tyas mbrot terimakasih atas pelayanan nya pengunjung siap makan piring bersih
372;enak sambelnya
373;imam iska enak nasi bakarnya enak lho
374;mohon alamat toko ibu rudi trimks
375;enak ta mbak dasi tkw
376;dicoba
377;surtiani surtiani maap lupa pokok daerah darmahusada selatan daerah arah rumah sakit karangmenjangan
378;recomended
379;emang sambal jos gandos
380;sumpah sambel bu rudy nich kurang ajar banget masa bikin nasi sebakul jadi habis
381;gagal diet
382;miftah morat marit program dietnya om
383;makannya langsung ambil diaduk soalnya sambelnya dibawah minyaknya diatas hehee ditunggu jawabannya
384;bener enak sambelnya bu rudi mantap bos
385;sambel favorittttt
386;pesan online bu
387;sambalny perbotol bu
388;lintang soewahyono rebu an ka
389;bang alex sambel bu rudy
391;keren menginspirasi god bless bu rudy
392;cina
393;utama jaya rasis anjing
394;utama babu jongos wkwkwk
395;utama jaya lumabuk sambalnya
396;rasis bangsat orang jawa malu awakku lihat komenmu
397;kasirnya namanya narti payah sambel enak pelayanan kasirnya malas
398;pedahal nuker hari waktu selisih menit keluar restoran kasirnya ganti
399;jilly kartika yudiputri dibayar namanya sistem kasir merubahnya
400;payah toko sambal bu rudi dijalan raya kupang surabaya makan restoran beli sambal bawang bungkus tukar bungkus sambal bajaknya kasirnya kasirnya malas banget pedahal selisih harganya tambahin sengaja bawa sambal bu rudi kasirnya payah pakai kacamata gendut
401;sambel favorit soalnya rasanya pedasnya mantap bikin makan diluar negeri jadi kangen negeri suka bawa sambelnya temen diluar negeri memasak this traditional sambal its easy as thats jadi simpel spicy
402;taruh minyak babi makany enak
403;bagus karunia woi emang bertanya sambel enak nyolot senang hasil kerja keras bu rudi bilang sejujur nya slah satu orang jahat kata bu rudy senang bisnis ny sukses berhijab beli disitu lihat pakai mata video belanja disitu emang minyak babi
404;ngomong ny pakai otak
405;kata karyawan nya ratusan kafir kata tau haram halal yakali betah kerja disana
406;cocot nya tapuk sendal
407;bu export hongkong si
408;sambel burudy mantap duanya
409;ikon sby
410;ribu perbotol isi gram menurutku mahal pelopor sambal botolan heran minati
411;wajar mahal brand bikin brand murah instan broo
412;botolnyanah ongkos beli cabenyanah ongkos beli bawangnyanah ongkos pasarnyanah ongkos lpg nyanah ongkos kardusnyanah ongkos gaji tukang masaknyanah ongkos pajaknya dianah ongkos sewa tempat jualannyanah emangnya ente nanggung semuanyamungkin ente nanggung jadi murah harga sambalnya
413;sambal shaolin soccer kungfu hustle enak sambelnya bu kebanyakan mencret
414;salam balikpapan bu rudy
415;wkwwkkk net jatim masuk sambal bu rudi kasih sambal bu rudi enak sambalx
416;foto bu rudy spanduk mirip foto cover kaset pop keroncong an wkwkk
417;hihi
418;sekilas mirip cover cd poppy mercury wkwkwk
419;coba diekspor korea bu lariss smbel trasi kemasannya enakkk byak beli aduhhh
420;sumpahhh sambel bu rudi sambel terfavorit eikeeeeee
421;medium asli loh cikmantap mengharumkan madiun tacik
422;logat suroboyone mantap medok tante sukses sll tante
423;coba dimadiun
424;ayu ayu nitip pas pulang kampung
425;terinsipirasi bu rudy terimakasih bu rudy
426;beli online
427;dimedan
428;hamba allah nitip ka
429;majikanku kl plangindo sllu bawa sambal bu rudy
430;jowo mu ketoro buk wkkkk
431;yak uripe nang jowo cak
432;boso jowo logat cino hehe
433;sayang cina
434;senopati channel salah etnis tionghoa
435;senopati maksudnya
436;senopati channel hidupmu sayang
437;fward ginting wkwkwkw ngentot
438;emang cina bakso kwetiau mie tahu bakpao lumpia semarang mempopulerkan orang tionghoa terkadang pemilik pertamanya orang pribumi asli salut orang cina
439;senopati channel etnisnya cina lahir madiun disayangkan
440;senopati channel bahasa hokkien china cupu wkwk
441;senopati channel sirik orang cinakegigihan orang cina perlu dicontoh tahu tahu orang cina kaya
442;senopati channel komen asik
443;senopati channel sayang nya miskin
444;senopati channel kadal gurun detected
445;bonnie culla wkwk
446;senopati channel orang palembang asli palembang terkenal mpekmpek nya mpekmpek penemunya orang chinese loh
447;bener banget bisnis jahat banget bu rudi biarkan suka banget ibu sambalnya hehe
448;orang tua jaman emang pakai resep pintar masak dirasain ibu ngrasain masakan ditiru
449;enak sambal roa
450;pokoknya surabaya mborong sambel by rudy sambel bawangnya bkin nagih
451;suaminya pak rudi
452;fayza adelia anaknya nak rudi
453;kakeknya rudi
454;nek rudi
455;supirnya mas slamet
456;tertawa wkwk
457;sumpah tertawa
458;tetangganya ferguso alguero
459;pak rudi pak ngatemo
460;wkwkwk ngakakk
461;potong rambut pak rudi rudi hadiswarno hihihi
462;bilang rudi si chef
463;jadi penasaran coba
464;buk rudy muka china logat jawa
465;wuakeh mas kaya nang suroboyo
466;bukti akulturasi budaya keren
467;jowo banget loch casing nya peranakan
